
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2701           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8005           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49682          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49699          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:53194          0.0.0.0:0              LISTENING
  TCP    10.94.84.176:139       0.0.0.0:0              LISTENING
  TCP    10.94.84.176:10001     0.0.0.0:0              LISTENING
  TCP    10.94.84.176:49427     40.83.247.108:443      ESTABLISHED
  TCP    10.94.84.176:52271     44.214.184.128:443     ESTABLISHED
  TCP    10.94.84.176:53234     10.2.117.243:49667     ESTABLISHED
  TCP    10.94.84.176:53291     10.2.102.139:445       ESTABLISHED
  TCP    10.94.84.176:53741     3.91.140.69:443        ESTABLISHED
  TCP    10.94.84.176:55620     52.96.79.130:443       ESTABLISHED
  TCP    10.94.84.176:55631     52.96.79.194:443       ESTABLISHED
  TCP    10.94.84.176:55639     52.200.46.145:443      ESTABLISHED
  TCP    10.94.84.176:55761     142.250.191.100:443    ESTABLISHED
  TCP    10.94.84.176:55785     142.251.179.84:443     ESTABLISHED
  TCP    10.94.84.176:55824     142.250.191.238:443    ESTABLISHED
  TCP    10.94.84.176:55920     10.9.103.87:80         ESTABLISHED
  TCP    10.94.84.176:55948     3.16.237.130:443       ESTABLISHED
  TCP    10.94.84.176:55951     3.16.237.130:443       ESTABLISHED
  TCP    10.94.84.176:55961     3.16.237.130:443       ESTABLISHED
  TCP    10.94.84.176:56025     3.12.232.231:443       ESTABLISHED
  TCP    10.94.84.176:56064     142.250.191.130:443    ESTABLISHED
  TCP    10.94.84.176:56068     172.217.0.170:443      ESTABLISHED
  TCP    10.94.84.176:56073     172.217.1.110:443      ESTABLISHED
  TCP    10.94.84.176:56081     142.250.191.170:443    ESTABLISHED
  TCP    10.94.84.176:56085     142.250.190.142:443    ESTABLISHED
  TCP    10.94.84.176:56102     142.250.191.142:443    ESTABLISHED
  TCP    10.94.84.176:56207     52.5.150.20:443        ESTABLISHED
  TCP    10.94.84.176:56339     172.64.155.249:443     ESTABLISHED
  TCP    10.94.84.176:56348     104.18.41.33:443       TIME_WAIT
  TCP    10.94.84.176:56504     20.189.173.15:443      ESTABLISHED
  TCP    10.94.84.176:56685     3.22.199.109:443       ESTABLISHED
  TCP    10.94.84.176:56721     142.250.190.150:443    ESTABLISHED
  TCP    10.94.84.176:56726     142.250.191.110:443    ESTABLISHED
  TCP    10.94.84.176:56729     142.250.190.130:443    ESTABLISHED
  TCP    10.94.84.176:56730     142.250.191.138:443    ESTABLISHED
  TCP    10.94.84.176:56734     172.217.1.110:443      ESTABLISHED
  TCP    10.94.84.176:56741     142.250.191.110:443    ESTABLISHED
  TCP    10.94.84.176:56782     52.96.156.18:443       ESTABLISHED
  TCP    10.94.84.176:56881     142.250.191.142:443    TIME_WAIT
  TCP    10.94.84.176:56947     172.64.150.63:443      TIME_WAIT
  TCP    10.94.84.176:57049     52.96.79.34:443        ESTABLISHED
  TCP    10.94.84.176:57050     52.96.79.34:443        ESTABLISHED
  TCP    10.94.84.176:57353     142.250.190.138:443    ESTABLISHED
  TCP    10.94.84.176:57354     172.217.1.110:443      ESTABLISHED
  TCP    10.94.84.176:57555     52.188.247.146:443     TIME_WAIT
  TCP    10.94.84.176:57656     142.250.190.42:443     ESTABLISHED
  TCP    10.94.84.176:57675     142.250.191.163:443    ESTABLISHED
  TCP    10.94.84.176:57676     142.250.191.238:443    ESTABLISHED
  TCP    10.94.84.176:57677     142.250.191.238:443    ESTABLISHED
  TCP    10.94.84.176:57703     20.189.173.9:443       ESTABLISHED
  TCP    10.94.84.176:57704     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57707     44.207.105.108:443     TIME_WAIT
  TCP    10.94.84.176:57723     23.206.214.202:443     TIME_WAIT
  TCP    10.94.84.176:57728     10.161.39.54:9997      TIME_WAIT
  TCP    10.94.84.176:57732     142.250.191.226:443    TIME_WAIT
  TCP    10.94.84.176:57735     142.250.191.238:443    ESTABLISHED
  TCP    10.94.84.176:57736     20.94.153.70:443       ESTABLISHED
  TCP    10.94.84.176:57764     142.250.191.174:443    ESTABLISHED
  TCP    10.94.84.176:57765     10.161.39.65:9997      TIME_WAIT
  TCP    10.94.84.176:57766     54.218.94.7:443        TIME_WAIT
  TCP    10.94.84.176:57768     142.250.190.3:443      TIME_WAIT
  TCP    10.94.84.176:57769     142.250.191.97:443     ESTABLISHED
  TCP    10.94.84.176:57789     54.218.94.7:443        TIME_WAIT
  TCP    10.94.84.176:57790     142.250.190.99:443     TIME_WAIT
  TCP    10.94.84.176:57791     142.250.191.163:443    TIME_WAIT
  TCP    10.94.84.176:57807     142.250.191.174:443    ESTABLISHED
  TCP    10.94.84.176:57827     3.167.163.11:443       TIME_WAIT
  TCP    10.94.84.176:57830     10.162.39.43:9997      TIME_WAIT
  TCP    10.94.84.176:57835     52.168.117.168:443     ESTABLISHED
  TCP    10.94.84.176:57841     146.75.10.172:80       TIME_WAIT
  TCP    10.94.84.176:57848     172.64.147.34:443      ESTABLISHED
  TCP    10.94.84.176:57849     142.250.190.74:443     ESTABLISHED
  TCP    10.94.84.176:57850     151.101.194.137:443    ESTABLISHED
  TCP    10.94.84.176:57851     104.18.87.42:443       ESTABLISHED
  TCP    10.94.84.176:57852     142.250.191.168:443    ESTABLISHED
  TCP    10.94.84.176:57853     172.217.2.34:443       ESTABLISHED
  TCP    10.94.84.176:57854     142.250.190.142:443    ESTABLISHED
  TCP    10.94.84.176:57855     104.18.41.33:443       ESTABLISHED
  TCP    10.94.84.176:57857     172.64.155.249:443     ESTABLISHED
  TCP    10.94.84.176:57858     142.250.191.226:443    ESTABLISHED
  TCP    10.94.84.176:57859     172.64.152.233:443     TIME_WAIT
  TCP    10.94.84.176:57861     142.250.191.238:443    ESTABLISHED
  TCP    10.94.84.176:57862     172.217.5.1:443        ESTABLISHED
  TCP    10.94.84.176:57863     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57864     142.250.191.225:443    ESTABLISHED
  TCP    10.94.84.176:57865     142.250.191.166:443    ESTABLISHED
  TCP    10.94.84.176:57867     172.217.2.34:443       ESTABLISHED
  TCP    10.94.84.176:57868     142.250.191.226:443    ESTABLISHED
  TCP    10.94.84.176:57870     23.206.214.114:443     ESTABLISHED
  TCP    10.94.84.176:57873     18.210.208.47:443      TIME_WAIT
  TCP    10.94.84.176:57874     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57875     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57876     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57877     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57878     142.250.191.100:443    ESTABLISHED
  TCP    10.94.84.176:57879     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57880     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57881     142.250.190.66:443     TIME_WAIT
  TCP    10.94.84.176:57882     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57883     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57884     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57888     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57889     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57890     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57891     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57892     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57893     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57894     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57895     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57896     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57905     10.161.39.57:9997      TIME_WAIT
  TCP    10.94.84.176:57908     23.65.3.46:443         ESTABLISHED
  TCP    10.94.84.176:57910     40.126.28.11:443       ESTABLISHED
  TCP    10.94.84.176:57916     13.107.246.35:443      CLOSE_WAIT
  TCP    10.94.84.176:57917     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57918     40.126.29.10:443       ESTABLISHED
  TCP    10.94.84.176:57921     23.203.117.159:443     ESTABLISHED
  TCP    10.94.84.176:57922     23.203.53.73:443       ESTABLISHED
  TCP    10.94.84.176:57923     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57929     13.107.246.35:443      ESTABLISHED
